COD_PROG_CURRICULAR,PROG_CURRICULAR,SNIES
D23,DOCTORADO EN INGENIERÍA - CIENCIA Y TECNOLOGÍA DE MATERIALES (280),53272
D23,DOCTORADO EN INGENIERÍA - CIENCIA Y TECNOLOGÍA DE MATERIALES (280),52751
D24,DOCTORADO EN INGENIERÍA - SISTEMAS Y COMPUTACIÓN (291),52729
D25,DOCTORADO EN GEOGRAFÍA (305),53273
D27,DOCTORADO EN ESTUDIOS POLÍTICOS Y RELACIONES INTERNACIONALES (322),53274
239,MAESTRÍA EN CIENCIAS - GEOMORFOLOGÍA Y SUELOS,106669
242,ESPECIALIZACIÓN EN TECNOLOGÍA DE SEMILLAS,16910
243,ESPECIALIZACIÓN EN AGROECOLOGÍA,16906
250,MAESTRÍA EN CIENCIAS BIOLÓGICAS,105570
246,ESPECIALIZACIÓN EN GESTIÓN EMPRESARIAL,21554
252,ESPECIALIZACIÓN EN NUTRICIÓN ANIMAL,21553
337,DOCTORADO EN AGROECOLOGÍA,55131
264,ESPECIALIZACIÓN EN DIRECCIÓN DE PRODUCCIÓN Y OPERACIONES,51673
270,DOCTORADO EN INGENIERÍA - SISTEMAS ENERGÉTICOS,51671
311,ESPECIALIZACIÓN EN GESTIÓN DE REDES Y DATOS,52755
051,INGENIERÍA BIOLÓGICA,108085
051,INGENIERÍA BIOLÓGICA,16921
051,INGENIERÍA BIOLÓGICA,116558
052,INGENIERÍA DE CONTROL,16922
053,INGENIERÍA DE MINAS Y METALURGIA,118
054,INGENIERÍA DE PETRÓLEOS,119
055,INGENIERÍA DE SISTEMAS E INFORMÁTICA,16925
056,INGENIERÍA FÍSICA,16923
056,INGENIERÍA FÍSICA,16915
057,INGENIERÍA FORESTAL,124
058,INGENIERÍA GEOLÓGICA,126
059,TECNOLOGÍA FORESTAL,16918
060,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS,16912
061,CONSTRUCCIÓN,16913
061,CONSTRUCCIÓN,128
062,GESTIÓN CULTURAL Y COMUNICATIVA,108084
062,GESTIÓN CULTURAL Y COMUNICATIVA,16914
063,INGENIERÍA ADMINISTRATIVA,125
048,INGENIERÍA AMBIENTAL,55189
048,INGENIERÍA AMBIENTAL,16905
065,PROGRAMA ESPECIAL,0
260,ECONOMÍA AGRÍCOLA,
261,MAESTRÍA EN PLANEACIÓN URBANA,
274,MAESTRÍA EN SILVICULTURA,
319,ESPECIALIZACIÓN EN SEMIÓTICA Y HERMENÉUTICA EN ARTE,
320,ESPECIALIZACIÓN EN INGENIERÍA DE MATERIALES Y PROCESOS,16934
350,ESPECIALIZACIÓN EN FRUTALES TROPICALES,106055
350,ESPECIALIZACIÓN EN FRUTALES TROPICALES,54579
352,ESPECIALIZACIÓN EN ERGONOMÍA,90702
353,MAESTRÍA EN INGENIERÍA AGROINDUSTRIAL,90700
307,ESP EN PATOLOGÍA DE LA EDIFICACIÓN Y TÉCNICAS DE INTERVENCIÓN Y PREVENCIÓN,52974
308,ESPECIALIZACIÓN EN INTERVENTORIA DE PROYECTOS Y OBRAS,52973
358,DOCTORADO EN ESTUDIOS AMAZÓNICOS,101581
361,ESPECIALIZACIÓN EN EDUCACIÓN SOCIAL Y ÁMBITOS ACADÉMICOS,101986
368,MAESTRÍA EN INGENIERÍA - INGENIERÍA DE PETRÓLEOS,102566
370,MAESTRÍA EN INGENIERÍA - SISTEMAS ENERGÉTICOS,102865
373,DOCTORADO EN CIENCIAS AGRARIAS,
376,ESPECIALIZACIÓN EN SALUD Y SEGURIDAD EN EL TRABAJO,106663
387,MAESTRÍA EN ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS,104507
391,DOCTORADO EN ESTUDIOS URBANOS Y TERRITORIALES,106345
398,MAESTRÍA EN ARCHIVÍSTICA,105299
399,DOCTORADO EN ONCOLOGÍA,106335
393,ESPECIALIZACIÓN EN INGENIERÍA GEOTECNIA,104512
394,ESPECIALIZACIÓN EN RECURSOS MINERALES,104510
395,ESPECIALIZACIÓN EN GESTIÓN DEL NEGOCIO MINERO,104509
396,ESPECIALIZACIÓN EN INGENIERÍA DE SOFTWARE,104508
397,ESPECIALIZACIÓN EN ANALÍTICA,104511
403,ESPECIALIZACIÓN EN ECO-EFICIENCIA INDUSTRIAL,106056
404,MAESTRÍA EN INMUNOLOGÍA,106340
139,ESPECIALIZACIÓN EN ESTUDIOS DEL CARIBE,52756
329,DOCTORADO EN ECOLOGÍA,
330,ESPECIALIZACIÓN EN GESTIÓN CULTURAL CON ÉNFASIS EN PLANEACIÓN Y POLÍTICAS C,55133
331,ESPECIALIZACIÓN EN DESARROLLO DE MARKETING CORPORATIVO,55029
332,ESPECIALIZACIÓN EN FINANZAS CORPORATIVAS,55030
245,ESPECIALIZACIÓN EN RIEGOS,16909
271,DOCTORADO EN INGENIERÍA - SISTEMAS,51669
272,DOCTORADO EN INGENIERÍA - RECURSOS HIDRÁULICOS,51670
406,ESPECIALIZACIÓN EN MÉTODOS ESTADÍSTICOS BÁSICOS,106337
407,ZOOTECNIA,16926
408,INGENIERÍA AGRÍCOLA,116
409,INGENIERÍA FORESTAL,124
410,MAESTRÍA EN BOSQUES Y CONSERVACIÓN AMBIENTAL,142
411,ESPECIALIZACIÓN EN NUTRICIÓN ANIMAL,21553
412,DOCTORADO EN ECOLOGÍA,55127
413,MAESTRÍA EN INGENIERÍA AGROINDUSTRIAL,90759
405,ESPECIALIZACIÓN EN FRUTALES TROPICALES,
414,MAESTRÍA EN INGENIERÍA FÍSICA,106955
415,MAESTRÍA EN GESTIÓN Y DESARROLLO RURAL,106958
415,MAESTRÍA EN GESTIÓN Y DESARROLLO RURAL,106339
419,DOCTORADO EN ADMINISTRACIÓN,107164
419,DOCTORADO EN ADMINISTRACIÓN,106342
418,CIENCIAS DE LA COMPUTACIÓN,106341
418,CIENCIAS DE LA COMPUTACIÓN,110177
418,CIENCIAS DE LA COMPUTACIÓN,107447
417,"ESPECIALIZACIÓN EN JUSTICIA, VÍCTIMAS Y CONSTRUCCIÓN DE PAZ",106338
ESP,ESPECIAL,0
CLE,COMPONENTE DE LIBRE ELECCIÓN,0
VIS,ESTUDIANTES QUE VIENEN DE OTRAS UNIVERSIDADES O INSTITUCIONES,
381,DOCTORADO EN AGROECOLOGÍA,55128
381,DOCTORADO EN AGROECOLOGÍA,55123
382,DOCTORADO EN CIENCIAS AGRARIAS,16887
382,DOCTORADO EN CIENCIAS AGRARIAS,51672
382,DOCTORADO EN CIENCIAS AGRARIAS,106667
383,ESPECIALIZACIÓN EN CULTIVOS PERNNES INDUSTRIALES,52730
384,ESPECIALIZACIÓN EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,79
384,ESPECIALIZACIÓN EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2706
385,MAESTRÍA EN DISEÑO,103552
388,ESPECIALIDAD EN MEDICINA DEL DEPORTE,106336
389,ESPECIALIZACIÓN EN GOBIERNO ELECTRÓNICO,103554
401,MAESTRÍA EN CIENCIAS - MATEMÁTICAS,106665
401,MAESTRÍA EN CIENCIAS - MATEMÁTICAS,107
402,DOCTORADO EN CIENCIAS - MATEMÁTICAS,2604
402,DOCTORADO EN CIENCIAS - MATEMÁTICAS,106666
305,DOCTORADO EN GEOGRAFÍA,53273
349,DOCTORADO EN INGENIERÍA - INGENIERÍA MECÁNICA Y MECATRÓNICA,55187
349,DOCTORADO EN INGENIERÍA - INGENIERÍA MECÁNICA Y MECATRÓNICA,105137
023,MEDICINA VETERINARIA,2
031,ARQUITECTURA,4126
031,ARQUITECTURA,30
031,ARQUITECTURA,127
032,DISEÑO INDUSTRIAL,16903
032,DISEÑO INDUSTRIAL,5
040,INGENIERÍA AGRONÓMICA,3104
040,INGENIERÍA AGRONÓMICA,0
040,INGENIERÍA AGRONÓMICA,113
040,INGENIERÍA AGRONÓMICA,1
081,ESPECIALIZACIÓN EN DISEÑO DE MULTIMEDIA,16892
081,ESPECIALIZACIÓN EN DISEÑO DE MULTIMEDIA,21552
083,ESPECIALIZACIÓN EN INDUSTRIA Y TECNOLOGÍA,16897
112,ESPECIALIZACIÓN EN INGENIERÍA AMBIENTAL - ÁREA SANITARIA,77
112,ESPECIALIZACIÓN EN INGENIERÍA AMBIENTAL - ÁREA SANITARIA,4129
113,ESPECIALIZACIÓN EN INGENIERÍA ELÉCTRICA,105099
113,ESPECIALIZACIÓN EN INGENIERÍA ELÉCTRICA,76
135,ESPECIALIDAD EN ORTOPEDIA Y TRAUMATOLOGÍA,52
136,ESPECIALIDAD EN OTORRINOLARINGOLOGÍA,53
154,MAESTRÍA EN ARQUITECTURA,16888
154,MAESTRÍA EN ARQUITECTURA,55142
154,MAESTRÍA EN ARQUITECTURA,108135
164,MAESTRÍA EN CIENCIAS - GEOFÍSICA,19905
165,MAESTRÍA EN CIENCIAS - GEOLOGÍA,19902
202,ESPECIALIZACIÓN EN FILOSOFÍA POLÍTICA,21558
230,MAESTRÍA EN DISCAPACIDAD E INCLUSIÓN SOCIAL,19916
238,ESPECIALIZACIÓN EN CIENCIA Y TECNOLOGÍA COSMÉTICA,21561
266,ESPECIALIZACIÓN EN FILOSOFÍA DE LA MENTE,51680
267,ESPECIALIZACIÓN EN TEORÍA ÉTICA,51685
318,ESPECIALIZACIÓN EN MERCADOS Y POLÍTICAS DE SUELO EN AMÉRICA LATINA,53268
327,ESPECIALIZACIÓN EN DERECHOS HUMANOS Y DERECHO INTERNACIONAL HUMANITARIO,54578
343,DOCTORADO EN DERECHO,55125
348,DOCTORADO EN ANTROPOLOGÍA,55186
281,MAESTRÍA EN FÍSICA MÉDICA,52977
316,"ESPECIALIZACIÓN EN TRÁNSITO, DISEÑO Y SEGURIDAD VIAL",53266
347,MAESTRÍA EN ODONTOLOGÍA,55149
066,DOCTORADO EN BIOTECNOLOGÍA,52728
066,DOCTORADO EN BIOTECNOLOGÍA,55188
313,DOCTORADO EN CIENCIAS BIOMÉDICAS,52750
317,ESPECIALIZACIÓN EN OPERATORIA DENTAL ESTÉTICA,53265
321,ESPECIALIDAD EN CUIDADO INTENSIVO PEDIÁTRICO,53269
324,MAESTRÍA EN ESTUDIOS SOCIALES DE LA CIENCIA,55026
325,MAESTRÍA EN BIOCIENCIAS Y DERECHO,55137
D28,DOCTORADO EN ADMINISTRACIÓN (419),
150,ESPECIALIZACIÓN EN TRANSPORTES,74
156,MAESTRÍA EN INGENIERÍA - AUTOMATIZACIÓN INDUSTRIAL,103553
156,MAESTRÍA EN INGENIERÍA - AUTOMATIZACIÓN INDUSTRIAL,19911
156,MAESTRÍA EN INGENIERÍA - AUTOMATIZACIÓN INDUSTRIAL,19924
163,MAESTRÍA EN CIENCIAS - FÍSICA,105
163,MAESTRÍA EN CIENCIAS - FÍSICA,19889
163,MAESTRÍA EN CIENCIAS - FÍSICA,54035
170,MAESTRÍA EN DERECHO,19910
173,MAESTRÍA EN INGENIERÍA - ESTRUCTURAS,101
173,MAESTRÍA EN INGENIERÍA - ESTRUCTURAS,103555
173,MAESTRÍA EN INGENIERÍA - ESTRUCTURAS,106347
178,MAESTRÍA EN FISIOLOGÍA,19917
204,MAESTRÍA EN CIENCIAS - ASTRONOMÍA,19901
EXT,ALUMNOS DE OTRAS UNIVERSIDADES,0
323,MAESTRÍA EN TRABAJO SOCIAL,53271
286,MAESTRÍA EN INGENIERÍA BIOMÉDICA,52739
304,MAESTRÍA EN GEOGRAFÍA,53270
068,DOCTORADO EN CIENCIAS AGROPECUARIAS - ÁREA AGRARIA,51672
068,DOCTORADO EN CIENCIAS AGROPECUARIAS - ÁREA AGRARIA,19859
068,DOCTORADO EN CIENCIAS AGROPECUARIAS - ÁREA AGRARIA,16887
254,ESPECIALIDAD EN PERINATOLOGÍA Y NEONATOLOGÍA,19963
259,ESPECIALIZACIÓN EN EDUCACIÓN ARTÍSTICA INTEGRAL,51678
283,MAESTRÍA EN PEDAGOGÍA DEL PIANO,51687
049,INGENIERÍA INDUSTRIAL,4124
049,INGENIERÍA INDUSTRIAL,121
049,INGENIERÍA INDUSTRIAL,16940
001,FÍSICA,33
004,ADMINISTRACIÓN DE EMPRESAS,16902
004,ADMINISTRACIÓN DE EMPRESAS,4120
004,ADMINISTRACIÓN DE EMPRESAS,19
004,ADMINISTRACIÓN DE EMPRESAS,16911
297,MAESTRÍA EN MUSICOTERAPIA,52742
315,ESPECIALIZACIÓN EN DISEÑO Y DESARROLLO DE PRODUCTO,53263
360,MAESTRÍA EN CIENCIAS - BIOESTADÍSTICA,101799
367,MAESTRÍA EN BIOINFORMÁTICA,102404
440,MAESTRÍA EN SOBERANÍA Y SEGURIDAD ALIMENTARIA Y NUTRICIONAL,111762
441,ESPECIALIZACIÓN EN ARQUITECTURA LEGAL Y FORENSE,0
439,ESPECIALIZACIÓN EN NANOTECNOLOGÍA,111082
435,ESPECIALIZACIÓN EN LOGÍSTICA Y CADENAS DE ABASTECIMIENTO,108412
445,ESPECIALIZACIÓN EN GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA,116706
432,DOCTORADO EN ESTUDIOS AMBIENTALES,110738
432,DOCTORADO EN ESTUDIOS AMBIENTALES,110727
432,DOCTORADO EN ESTUDIOS AMBIENTALES,108145
433,ESPECIALIZACIÓN NANOTECNOLOGÍA APLICADA A LA INDUSTRIA DEL PETRÓLEO Y GAS,108146
434,ESPECIALIZACIÓN EN INTELIGENCIA ARTIFICIAL,108149
436,ESPECIALIZACIÓN EN ADMINISTRACIÓN DE JUSTICIA,110725
437,ESPECIALIZACIÓN EN INGENIERÍA CONTRA INCENCIOS Y EXPLOSIONES,110724
438,MAESTRÍA EN INGENIERÍA - INGENIERÍA DE BIOSISTEMAS,110726
442,ESPECIALIZACIÓN EN ENERGÍA SOLAR,116704
443,ESPECIALIZACIÓN EN PLANTACIONES Y RESTAURACIÓN FORESTAL,116687
444,ESPECIALIZACIÓN EN INTERCULTURALIDAD Y GESTIÓN TERRITORIAL DEL TURISMO,116706
428,DOCTORADO EN ESTÉTICA,107444
427,MAESTRÍA EN CIENCIAS NATURALES,116688
429,MAESTRÍA EN GESTIÓN CULTURAL,107165
430,"ESPECIALIZACIÓN EN TURISMO, AMBIENTE Y TERRITORIO",107166
431,ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA,107446
