COD_PROG_CURRICULAR,PROG_CURRICULAR,SNIES
185,MAESTRÍA EN INGENIERÍA - INGENIERÍA AGRÍCOLA,19914
186,MAESTRÍA EN INGENIERÍA - INGENIERÍA AMBIENTAL,91335
186,MAESTRÍA EN INGENIERÍA - INGENIERÍA AMBIENTAL,103154
186,MAESTRÍA EN INGENIERÍA - INGENIERÍA AMBIENTAL,19912
187,MAESTRÍA EN INGENIERÍA - INGENIERÍA DE SISTEMAS,106674
187,MAESTRÍA EN INGENIERÍA - INGENIERÍA DE SISTEMAS,136
188,MAESTRÍA EN INGENIERÍA - INGENIERÍA ELÉCTRICA,101467
188,MAESTRÍA EN INGENIERÍA - INGENIERÍA ELÉCTRICA,101582
188,MAESTRÍA EN INGENIERÍA - INGENIERÍA ELÉCTRICA,95
189,MAESTRÍA EN INGENIERÍA - INGENIERÍA QUÍMICA,19866
189,MAESTRÍA EN INGENIERÍA - INGENIERÍA QUÍMICA,19926
189,MAESTRÍA EN INGENIERÍA - INGENIERÍA QUÍMICA,96
190,MAESTRÍA EN LINGÜÍSTICA,93
CNI,CURSOS NIVELATORIOS,0
192,MAESTRÍA EN MEDIO AMBIENTE Y DESARROLLO,19925
192,MAESTRÍA EN MEDIO AMBIENTE Y DESARROLLO,19867
192,MAESTRÍA EN MEDIO AMBIENTE Y DESARROLLO,19909
193,MAESTRÍA EN CIENCIAS - MICROBIOLOGÍA,106
194,MAESTRÍA EN INGENIERÍA - RECURSOS HIDRÁULICOS,99
194,MAESTRÍA EN INGENIERÍA - RECURSOS HIDRÁULICOS,137
194,MAESTRÍA EN INGENIERÍA - RECURSOS HIDRÁULICOS,104319
195,MAESTRÍA EN SALUD PÚBLICA,88
196,MAESTRÍA EN SALUD Y PRODUCCIÓN ANIMAL,86
197,MAESTRÍA EN PSICOLOGÍA,19907
198,MAESTRÍA EN SOCIOLOGÍA,90
199,MAESTRÍA EN TOXICOLOGÍA,19919
200,MAESTRÍA EN INGENIERÍA - TRANSPORTES,97
201,MAESTRÍA EN URBANISMO,103
203,MAESTRÍA EN INGENIERÍA - TELECOMUNICACIONES,19913
208,ESPECIALIZACIÓN EN DISEÑO URBANO,19962
208,ESPECIALIZACIÓN EN DISEÑO URBANO,19970
302,MAESTRÍA EN CONSERVACIÓN DEL PATRIMONIO CULTURAL INMUEBLE,52733
303,MAESTRÍA EN FOTOGRAFÍA CINEMATOGRÁFICA,52736
022,ZOOTECNIA,143
022,ZOOTECNIA,3
022,ZOOTECNIA,16926
191,ESPECIALIZACIÓN EN ANÁLISIS ESPACIAL,53267
322,DOCTORADO EN ESTUDIOS POLÍTICOS Y RELACIONES INTERNACIONALES,53274
301,MAESTRÍA EN DISEÑO URBANO,52976
341,ESPECIALIDAD EN PERIODONCIA,55024
