CODIGO_INTERNO,COD_DEPTO_PROCEDENCIA,COD_MUN_PROCEDENCIA,COD_DEPTO_RESIDENCIA,COD_MUN_RESIDENCIA,ESTRATO,COD_COLEGIO,MODACADEMICA,ANO_TERMINACION_COLEGIO,PBM_CALCULADO,PBM_COLEGIO,PBM_ASIGNADO,PUNTAJE_ADMISION,CONVOCATORIA,APERTURA,COD_ACCESO,COD_SUBACCESO,NODO_INICIO,COD_PLAN,HIST_ACADEMICA
452202,52,356,5,1,3,011718,Oficial,2008,13,,,"579,79",2016-1S,2017-1S,1,1,12,5948,1347
531774,5,91,5,1,1,001453,Oficial,2017,3,,,"633,22",2018-2S,2018-2S,1,1,4,3534,558
536491,5,1,5,1,2,131235,No oficial,2014,20,19,,"700,378",2025-2S,2025-2S,1,1,2,3534,1906
536241,81,1,5,1,2,087395,Oficial,2016,9,,,"495,4",2018-2S,2018-2S,1,18,5,3534,604
534311,5,1,5,1,2,031138,Oficial,2015,21,1,,"611,03",2018-2S,2018-2S,1,1,4,3534,786
533960,5,1,5,1,3,000240,No oficial,2017,54,39,,"606,7",2018-2S,2018-2S,1,1,5,3534,567
545220,86,885,5,1,1,114462,Oficial,2018,2,,,"520,2",2019-1S,2019-1S,1,3,5,3534,153
545157,88,1,5,1,2,109900,Oficial,2018,19,,,"507,8",2019-1S,2019-1S,1,20,5,3534,199
545268,91,1,5,1,3,038919,Oficial,2018,10,,,"508,02",2019-1S,2019-1S,1,19,5,3534,197
541537,5,1,5,1,3,000844,No oficial,2018,44,51,,"676,82",2019-1S,2019-1S,1,1,2,3534,11
541543,5,88,5,1,3,001115,No oficial,2018,48,,,"674,14",2019-1S,2019-1S,1,1,4,3534,107
541586,5,1,5,1,4,000760,No oficial,2018,73,,,"730,38",2019-1S,2019-1S,1,1,2,3534,114
541961,5,1,5,1,3,000240,No oficial,2016,40,,,"684,02",2019-1S,2019-1S,1,1,4,3534,166
541634,5,1,5,1,2,031138,Oficial,2018,14,,,,2019-1S,2023-2S,3,1,2,3534,1500
541709,5,1,5,1,4,001115,No oficial,2018,48,,,"934,87",2019-1S,2019-1S,1,1,2,3534,127
561096,5,1,5,1,2,028613,No oficial,2019,52,,,"635,612",2025-2S,2025-2S,1,1,2,3534,1902
563490,5,1,5,1,2,126813,Oficial,2019,20,,,"684,366",2024-1S,2024-1S,1,36,4,2540,4502
554657,5,1,5,1,3,000240,No oficial,2018,48,,,"648,15",2019-2S,2019-2S,1,1,4,3534,226
560123,5,1,5,1,4,000141,No oficial,2019,63,64,,"687,83",2020-1S,2020-1S,1,1,2,3534,328
560193,5,1,5,1,3,063453,Oficial,2019,23,,,"750,24",2020-1S,2020-1S,1,1,2,3534,339
554775,5,209,5,1,2,001669,Oficial,2018,7,,,"575,79",2019-2S,2019-2S,1,1,4,3534,245
560712,5,1,5,1,1,001040,Oficial,2019,4,,,"654,24",2020-1S,2020-1S,1,1,4,3534,391
554864,76,126,5,1,2,124933,Oficial,2018,8,,,"637,87",2019-2S,2020-1S,1,1,2,3534,257
560399,5,1,5,1,3,028613,No oficial,2019,47,,,"662,84",2020-1S,2020-1S,1,1,4,3534,368
559982,5,1,5,1,3,600000,No oficial,2019,19,,,"775,15",2020-1S,2020-1S,1,1,2,2552,4771
564761,91,1,5,1,3,038919,Oficial,2019,17,,,"556,47",2020-1S,2020-1S,1,19,5,3534,394
564195,88,1,5,1,2,019257,Oficial,2019,11,,,,2020-1S,2022-1S,3,20,2,3534,1136
593965,5,1,5,1,2,067470,Oficial,2021,29,,,"733,06",2022-1S,2022-1S,1,1,2,3534,1096
600663,5,1,5,1,3,001073,No oficial,2021,61,,,"584,382",2022-2S,2022-2S,1,1,4,3534,1213
594102,5,1,5,1,3,014365,Oficial,2020,14,,,"658,47",2022-1S,2022-1S,1,1,4,3534,1069
594153,5,360,5,1,4,056978,No oficial,2021,58,,,"642,43",2022-1S,2022-1S,1,1,2,3534,1108
594212,52,612,5,1,1,011809,Oficial,2021,24,,,"544,6",2022-1S,2022-1S,1,23,5,3534,1128
594370,5,1,5,1,2,001016,Oficial,2021,16,,,"640,31",2022-1S,2022-1S,1,1,2,3534,1110
595108,5,1,5,1,3,000760,No oficial,2021,71,,,,2022-1S,2024-2S,3,1,2,3534,1803
593767,19,517,5,1,1,035295,Oficial,2020,4,,,"676,13",2022-1S,2022-1S,1,1,2,3534,1068
593858,86,320,5,1,2,034454,Oficial,2020,11,,,"530,19",2022-1S,2022-1S,1,19,5,3534,1121
577825,52,835,5,1,1,011957,Oficial,2020,4,,,,2021-1S,2024-2S,3,23,2,3534,1805
576147,5,1,5,1,2,600000,No oficial,2018,9,,,"637,16",2021-1S,2021-1S,1,1,2,3534,822
576150,5,1,5,1,No Informa,000463,No oficial,2020,100,,,"784,84",2021-1S,2021-1S,1,1,2,3534,823
576154,5,1,5,1,No Informa,000281,No oficial,2020,100,,,"737,67",2021-1S,2021-1S,1,1,2,3534,824
576170,5,1,5,1,No Informa,000760,No oficial,2020,100,,,"648,79",2021-1S,2021-1S,1,1,2,3534,828
576180,5,1,5,1,No Informa,000935,Oficial,2019,95,,,"633,93",2021-1S,2021-1S,1,24,4,3534,830
576212,5,1,5,1,No Informa,000141,No oficial,2020,100,,,"666,29",2021-1S,2021-1S,1,1,2,3534,837
576224,5,1,5,1,2,000463,No oficial,2020,74,79,,"642,19",2021-1S,2021-1S,1,5,2,3534,839
576562,5,1,5,1,No Informa,999993,No oficial,2020,100,,,"737,04",2021-1S,2021-1S,1,1,2,3534,882
576569,5,1,5,1,No Informa,070946,Oficial,2020,95,,,"729,37",2021-1S,2021-1S,1,1,2,3534,883
576610,5,1,5,1,No Informa,999993,No oficial,2020,100,,,"645,6",2021-1S,2021-1S,1,1,4,3534,889
576631,5,1,5,1,No Informa,001073,No oficial,2020,100,,,"654,72",2021-1S,2021-1S,1,1,4,3534,892
576236,5,1,5,1,No Informa,000786,Oficial,2018,95,,,"654,54",2021-1S,2021-1S,1,1,4,3534,842
576727,23,807,5,1,2,133082,Oficial,2020,21,,,"742,45",2021-1S,2021-1S,1,4,2,3534,908
576784,5,1,5,1,No Informa,051011,Oficial,2020,95,,,"680,87",2021-1S,2021-1S,1,1,4,3534,915
576506,5,1,5,1,2,037705,Oficial,2020,8,,,"684,71",2021-1S,2021-1S,1,1,2,3534,874
576512,5,1,5,1,3,026518,Oficial,2020,19,,,"795,01",2021-1S,2021-1S,1,1,2,3534,875
576526,5,1,5,1,No Informa,000851,Oficial,2020,95,,,"656,45",2021-1S,2021-1S,1,1,2,3534,877
571403,5,1,5,1,4,013581,No oficial,2012,22,,,"740,76",2020-2S,2020-2S,1,1,2,2552,4898
586588,52,835,5,1,1,117895,Oficial,2020,10,,,"390,93",2021-2S,2021-2S,1,23,5,3534,954
584481,5,1,5,1,3,026401,Oficial,2020,9,,,"648,233",2025-2S,2025-2S,1,1,2,3534,1899
585398,63,1,5,1,4,058065,No oficial,2020,69,78,,"612,3",2021-2S,2021-2S,1,1,2,3534,999
585418,5,1,5,1,3,000059,Oficial,2020,24,,,"653,9",2021-2S,2021-2S,1,24,2,3534,1001
583639,5,1,5,1,2,000711,Oficial,2018,11,,,"573,92",2021-2S,2021-2S,1,1,4,3534,962
585523,85,1,5,1,2,031120,Oficial,2020,28,,,"479,94",2021-2S,2021-2S,1,18,2,3534,948
585741,5,1,5,1,2,108159,Oficial,2020,20,,,"559,47",2021-2S,2021-2S,1,1,2,3534,1010
585861,5,1,5,1,2,082503,Oficial,2020,8,,,"581,11",2021-2S,2021-2S,1,1,4,3534,1017
586399,23,555,5,1,1,123893,Oficial,2020,38,,,"531,24",2021-2S,2021-2S,1,3,2,3534,1034
584317,5,1,5,1,3,031138,Oficial,2020,16,,,"564,83",2021-2S,2021-2S,1,1,2,3534,976
598499,18,150,5,1,2,043372,No oficial,2021,38,,,"582,069",2022-2S,2022-2S,1,1,4,3534,1159
567765,5,1,5,1,3,001164,No oficial,2019,25,,,"636,15",2020-2S,2020-2S,1,1,4,3534,430
601472,5,1,5,1,3,001115,No oficial,2020,,,,"694,11",2022-2S,2022-2S,1,1,2,3534,1223
598778,5,266,5,1,3,144832,Oficial,2021,32,,,"579,316",2022-2S,2022-2S,1,1,4,3534,1167
599481,19,1,5,1,2,046383,No oficial,2022,37,52,,"601,153",2022-2S,2022-2S,1,1,2,3534,1186
598844,5,1,5,1,2,049056,Oficial,2019,,,,"588,381",2022-2S,2022-2S,1,1,4,3534,1169
567912,5,1,5,1,3,132068,No oficial,2019,22,,,"587,69",2020-2S,2020-2S,1,1,4,3534,439
598296,27,1,5,1,1,026401,Oficial,2021,34,,,"582,314",2022-2S,2022-2S,1,1,4,3534,1154
600249,17,1,5,1,3,005884,Oficial,2021,38,,,"625,995",2022-2S,2022-2S,1,1,2,3534,1206
567615,5,1,5,1,2,001867,Oficial,2019,16,,,"596,15",2020-2S,2020-2S,1,1,4,3534,418
568814,70,1,5,1,1,114579,No oficial,2019,26,,,"588,46",2020-2S,2020-2S,1,1,4,3534,479
594058,5,1,5,1,4,000653,No oficial,2018,81,,,"647,31",2022-1S,2022-1S,1,1,2,3534,1060
593763,5,1,5,1,4,080358,Oficial,2021,32,,,"724,09",2022-1S,2022-2S,1,1,2,3534,1059
595123,5,88,5,1,3,000786,Oficial,2021,27,,,,2022-1S,2023-2S,3,1,2,3534,1507
605920,5,1,5,1,2,726364,Oficial,2022,19,,,"670,474",2023-1S,2023-1S,1,1,4,3534,1319
605955,5,1,5,1,1,600000,No oficial,2022,1,,,"748,388",2025-1S,2025-1S,1,1,2,3534,1733
605958,5,1,5,1,5,000174,No oficial,2022,,,,"688,72",2023-1S,2023-1S,1,1,2,3534,1324
605962,23,570,5,1,2,030601,Oficial,2022,24,,,"595,292",2023-1S,2023-1S,1,3,4,3534,1325
607269,5,1,5,1,5,000471,No oficial,2022,,,,"822,96",2023-1S,2023-1S,1,1,2,2552,5472
605968,5,1,5,1,3,171249,Oficial,2022,14,,,"712,692",2023-1S,2023-1S,1,1,4,3534,1326
605646,5,1,5,1,2,123760,Oficial,2022,30,,,"709,98",2023-1S,2023-1S,1,1,2,3534,1303
605353,5,1,5,1,3,000174,No oficial,2022,67,,,"752,142",2023-1S,2023-1S,1,1,2,3534,1275
606062,5,1,5,1,1,108282,Oficial,2021,12,,,"726,197",2023-1S,2023-1S,1,1,2,3534,1330
605795,5,1,5,1,No Informa,001115,No oficial,2022,,,,"739,586",2023-1S,2023-1S,1,1,2,3534,1309
605501,5,1,5,1,4,000141,No oficial,2022,69,,,"811,916",2023-1S,2023-1S,1,1,2,3534,1291
609017,5,1,5,1,5,156604,No oficial,2019,,,,"759,921",2023-1S,2023-1S,1,1,2,2552,5548
605859,5,1,5,1,3,000240,No oficial,2022,45,,,"748,64",2023-1S,2023-1S,1,1,2,3534,1314
605868,5,1,5,1,4,000760,No oficial,2022,86,,,"789,304",2023-1S,2023-1S,1,1,2,3534,1316
606235,97,1,5,1,No Estratificado,042994,Oficial,2022,28,,,"554,175",2023-1S,2023-1S,1,19,5,3534,1338
609794,81,65,5,1,1,166033,Oficial,2022,5,,,"495,321",2023-1S,2023-1S,1,18,5,3534,1374
609821,5,1,5,1,3,080283,Oficial,2022,24,,,"664,818",2023-1S,2023-1S,1,1,2,3534,1375
619911,5,1,5,1,3,132068,No oficial,2023,15,,,"752,492",2024-1S,2024-1S,1,1,2,3534,1567
620522,5,1,5,1,2,046185,No oficial,2023,55,,,"672,905",2025-2S,2025-2S,1,1,2,3534,1892
619641,52,399,5,1,1,011742,Oficial,2023,2,,,"773,215",2024-1S,2024-1S,1,1,4,3534,1546
619671,23,1,5,1,1,007906,No oficial,2023,46,,,"737,453",2024-1S,2024-1S,1,1,4,3534,1550
619206,5,1,5,1,3,113423,Oficial,2023,17,,,"705,582",2024-1S,2024-1S,1,1,4,3534,1520
619227,5,1,5,1,3,000174,No oficial,2023,,,,"733,933",2024-1S,2024-1S,1,5,2,3534,1523
619518,5,837,5,1,2,001313,No oficial,2023,55,,,"745,168",2024-1S,2024-1S,1,1,2,3534,1538
619544,5,1,5,1,5,173047,No oficial,2023,72,,,"736,063",2024-1S,2024-1S,1,1,4,3534,1540
619803,5,1,5,1,5,000281,No oficial,2023,,,,"712,601",2024-1S,2024-1S,1,1,2,3534,1560
620115,5,1,5,1,2,037762,No oficial,2023,30,,,"689,779",2024-1S,2024-1S,1,1,2,3534,1581
620120,5,1,5,1,3,082529,No oficial,2023,33,,,"701,489",2024-1S,2024-1S,1,1,2,3534,1582
619128,5,313,5,1,2,001974,Oficial,2023,10,,,"694,87",2024-1S,2024-1S,1,24,4,3534,1514
615367,20,250,5,1,1,047449,Oficial,2022,9,,,"724,442",2023-2S,2023-2S,1,1,2,3534,1480
615128,81,1,5,1,2,025601,Oficial,2021,14,,,"527,426",2023-2S,2023-2S,1,18,5,3534,1461
614842,5,1,5,1,2,002204,No oficial,2022,63,,,"626,3",2023-2S,2023-2S,1,1,4,3534,1436
614990,5,1,5,1,1,000059,Oficial,2022,11,,,"663,929",2023-2S,2023-2S,1,1,2,3534,1450
614696,20,1,5,1,3,007609,Oficial,2019,11,,,"643,326",2023-2S,2023-2S,1,1,4,3534,1423
632104,5,1,5,1,1,188615,Oficial,2020,,,,"495,253",2024-2S,2024-2S,1,36,4,2540,4750
626400,5,197,5,1,2,001644,Oficial,2023,7,,,"624,278",2024-1S,2024-1S,1,36,4,2540,4461
626416,5,1,5,1,3,002493,Oficial,2016,20,,,"648,275",2024-1S,2024-1S,1,36,4,2540,4465
626469,5,1,5,1,3,051003,No oficial,2021,79,,,"674,37",2024-1S,2024-1S,1,36,4,2540,4487
626470,5,1,5,1,2,171454,Oficial,2023,41,,10,"657,551",2024-1S,2024-1S,1,36,4,2540,4488
626505,5,1,5,1,2,106112,No oficial,2007,74,,,"688,612",2024-1S,2024-1S,1,36,4,2540,4499
637112,5,1,5,1,2,014886,Oficial,2022,,,,"686,625",2025-1S,2025-1S,1,1,2,3534,1758
